postazione;sensori;provincia;comune;tipo_strada;numero_strada;nome_strada
655;Aboveground;RA;RAVENNA;Strada provinciale;253R;Vitale (San), Strada
6;Underground;MO;FIUMALBO;Strada statale;12;Abetone e del Brennero, Strada Dell'
444;Underground;RA;RUSSI;Strada provinciale;5;Roncalceci, Strada
345;Underground;FC;VERGHERETO;Strada statale;003bis;Tiberina, Strada
357;Underground;RA;CASOLA VALSENIO;Strada provinciale;306R;Casolana Riolese, Strada
682;Underground;MO;BOMPORTO;Strada provinciale;2;Panaria bassa, Strada
675;Underground;RA;RAVENNA;Strada statale;309;Romea, Strada
429;Underground;RE;MONTECCHIO EMILIA;Strada provinciale;12;Sant'Ilario - San Polo, Strada
141;Underground;RE;REGGIO NELL'EMILIA;Strada comunale;468R;Lenin Nikolaj Ilyich Ulyanov Vladimir, Via
230;Underground;RE;GUALTIERI;Strada provinciale;062R var;Cispadana, Strada
123;Underground;PC;PIACENZA;Strada provinciale;28;Gossolengo, Strada Di
112;Underground;RE;BORETTO;Strada provinciale;111;Asse Val d'Enza, Strada
664;Underground;MO;CAMPOSANTO;Strada provinciale;002ter;Camposanto, Tangenziale Di
610;Underground;PR;BUSSETO;Strada provinciale;11;Busseto, Strada Di
504;Underground;BO;SAN LAZZARO DI SAVENA;Strada provinciale;7;Valle dell'Idice, Strada
663;Underground;FE;CODIGORO;Strada statale;309dir/A;Gran Linea, Strada
260;Underground;FC;CESENA;Strada provinciale;8;Cesenatico, Strada
393;Underground;PC;CAORSO;Strada statale;10;Padana Inferiore, Strada
394;Underground;PR;BORGO VAL DI TARO;Strada statale;523;Colle di Cento Croci, Strada Del
255;Underground;BO;CASTEL SAN PIETRO TERME;Strada statale;9;Emilia, Via
219;Underground;PC;CADEO;Strada statale;9;Emilia, Via
651;Aboveground;RA;CASTEL BOLOGNESE;Strada statale;9;Emilia, Via
146;Underground;MO;MODENA;Strada statale;12;Abetone e del Brennero, Strada Dell'
399;Underground;PR;SISSA TRECASALI;Strada provinciale;43;Trecasali - Torrile, Strada
447;Underground;PC;GOSSOLENGO;Strada provinciale;28;Gossolengo, Strada Di
432;Underground;RE;SANT'ILARIO D'ENZA;Strada provinciale;67;Calerno - Montecchio, Strada
126;Underground;PC;PIACENZA;Strada provinciale;006_I;Carpaneto, Strada Di
160;Underground;BO;CALDERARA DI RENO;Strada provinciale;18;Padullese, Strada
282;Underground;BO;ANZOLA DELL'EMILIA;Strada statale;9;Emilia, Via
261;Underground;FC;CESENA;Strada statale;9;Emilia, Via
170;Underground;FC;FORLI';Strada statale;67;Tosco Romagnola, Strada
677;Underground;RA;RAVENNA;Strada statale;67;Tosco Romagnola, Strada
294;Underground;RE;GATTATICO;Strada provinciale;111;Asse Val d'Enza, Strada
152;Underground;BO;BOLOGNA;Strada statale;569;Vignola, Strada Di
53;Underground;FE;COMACCHIO;Strada statale;309;Romea, Strada
